item_id,source,decoder,subgroup,is_real,f1,iou,precision,recall,accuracy,image_score,mask_area,bucket
a2af1f2af25134d0849567fafd54cb16,ai_boundary,threshold,,0,0.769619,0.625513,0.887800,0.679206,0.846132,0.999248,0.180268,medium
f543efca78fcb800290eb1a0e089c8ae,ai_boundary,threshold,,0,0.807101,0.676588,0.676588,1.000000,0.827896,0.999085,0.212358,medium
005dbfc81c9e2a6dae03208b00d0ee88,ai_boundary,threshold,,0,0.898922,0.816402,0.938958,0.862161,0.932093,0.998875,0.336819,large
d1c2d46e26becf6db9e1e2fc1de2c95b,ai_boundary,threshold,,0,0.938718,0.884514,0.885366,0.998914,0.918978,0.999364,0.456199,large
e3bf412ee67dcc0ee16cbedfe563b511,ai_boundary,threshold,,0,0.968996,0.939858,0.982930,0.955452,0.973068,0.995914,0.412686,large
6bd192c686fde21f7360ed34b835dace,ai_boundary,threshold,,0,0.942689,0.891590,0.900516,0.989005,0.957611,0.999344,0.079915,small
4a32aa90eef61e21baf2908fb5564a04,ai_boundary,threshold,,0,0.931419,0.871641,0.885165,0.982773,0.938965,0.999103,0.273349,medium
9909668efcc56d458f7f0d9ef15b335e,ai_boundary,threshold,,0,0.832829,0.713545,0.713983,0.999142,0.808961,0.999325,0.219044,medium
40c467e7804297a0efcfcf4b6d9da040,ai_boundary,threshold,,0,0.972694,0.946840,0.958965,0.986823,0.979603,0.999315,0.274846,medium
68a17de306540d2da2e1ffc7fb955b89,ai_boundary,threshold,,0,0.929964,0.869096,0.980800,0.884138,0.939665,0.998225,0.041499,tiny
7db25104ed44707a5e2996dbf5e7a335,ai_boundary,threshold,,0,0.961905,0.926605,0.930251,0.995788,0.953705,0.998721,0.239883,medium
0cb8cc24fc2b046c5ce379d20cb59b2f,ai_boundary,threshold,,0,0.791577,0.655050,0.655050,1.000000,0.797012,0.998750,0.111536,small
9bfb9e82c84fbee43d64091d71961559,ai_boundary,threshold,,0,0.644202,0.475146,0.475146,1.000000,0.475146,0.996676,0.141332,small
b5f1bcb2ef387c4506524788b45c7773,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.383682,0.110856,0.065736,small
b94f44b03da79e94bf18ca5332fc84c9,ai_boundary,threshold,,0,0.916610,0.846057,0.846057,1.000000,0.927152,0.999388,0.188651,medium
fe8054ffcf1c50341d016ad81777b2c5,ai_boundary,threshold,,0,0.917098,0.846889,0.846889,1.000000,0.936691,0.999364,0.208525,medium
04929d09f0213ef38434cfe20a48f6d1,ai_boundary,threshold,,0,0.883826,0.791835,0.791835,1.000000,0.905930,0.999400,0.377541,large
0876f41f049315bff67f972eb84bd9da,ai_boundary,threshold,,0,0.774697,0.632249,0.632249,1.000000,0.657142,0.999414,0.242739,medium
07ab61c47cb352c976a214f5ef5b5f23,ai_boundary,threshold,,0,0.950561,0.905780,0.905813,0.999960,0.960007,0.999312,0.232768,medium
f24da3eff10c46f55f0e83de560a0b75,ai_boundary,threshold,,0,0.858954,0.752778,0.752778,1.000000,0.831862,0.996790,0.703339,large
87cc17f9c853696080f2da30104d537d,ai_boundary,threshold,,0,0.958124,0.919614,0.919910,0.999650,0.950470,0.999089,0.179562,medium
e4124e8e422867edc441a763693e9a49,ai_boundary,threshold,,0,0.848664,0.737113,0.737113,1.000000,0.855766,0.999288,0.133090,small
fa1495c571ef275c9ac09c5e8124ec39,ai_boundary,threshold,,0,0.736974,0.583498,0.611728,0.926709,0.767727,0.998726,0.099489,small
eb6ec7ab7fe42019fba744dcb32007f7,ai_boundary,threshold,,0,0.856438,0.748922,0.748922,1.000000,0.880497,0.999395,0.714969,large
7cefd701863189ef39cf75a692dbd917,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.632739,0.017045,0.093864,small
81ae9c176820f539187036a2d223a283,ai_boundary,threshold,,0,0.904701,0.825985,0.825985,1.000000,0.920310,0.999361,0.103657,small
2633d6355b4069d28011af5d885670d0,ai_boundary,threshold,,0,0.755777,0.607429,0.836145,0.689504,0.839218,0.998457,0.137024,small
3e9dd46f3ba54ab18cc179f1c02be9ac,ai_boundary,threshold,,0,0.297359,0.174646,0.474606,0.216503,0.335922,0.842086,0.620075,large
726dbbfa9d1a07b12a62d43de1b58b0f,ai_boundary,threshold,,0,0.920636,0.852943,0.854500,0.997869,0.938400,0.999064,0.090632,small
5df49ca506141923d0cec2fb16433f98,ai_boundary,threshold,,0,0.694306,0.531753,0.597052,0.829409,0.531795,0.995075,0.425244,large
10a6700ba3494dd5f44e21297cbabef2,ai_boundary,threshold,,0,0.979810,0.960419,0.961961,0.998333,0.985276,0.999395,0.458945,large
5d0245a9e886ba288f560fbf93136ad7,ai_boundary,threshold,,0,0.792086,0.655747,0.858725,0.735045,0.838955,0.999239,0.331842,large
4751bab700079ae5b89a2e6fcff2c298,ai_boundary,threshold,,0,0.987302,0.974923,0.984387,0.990235,0.990796,0.998956,0.051073,small
3132a9e9e389219343e916cd4c333047,ai_boundary,threshold,,0,0.802613,0.670304,0.670304,1.000000,0.803131,0.996131,0.353070,large
94ccd0f7b6da25c63c174b3f26ae9fd6,ai_boundary,threshold,,0,0.663424,0.496361,0.496361,1.000000,0.623315,0.999374,0.141019,small
bdbfbdd55125f5b33aa4b255942dff1b,ai_boundary,threshold,,0,0.945109,0.895931,0.910370,0.982604,0.928128,0.999262,0.498779,large
d1bb136da8c527c79069c6e5f102d729,ai_boundary,threshold,,0,0.914579,0.842603,0.843025,0.999406,0.932134,0.999366,0.166976,medium
4c1d94f0f4e2f53d1a30915aeeba92ea,ai_boundary,threshold,,0,0.886126,0.795536,0.809457,0.978839,0.884262,0.991153,0.062451,small
f638696d70e4771514d15aeb405835a3,ai_boundary,threshold,,0,0.861283,0.756363,0.756363,1.000000,0.863222,0.999151,0.086911,small
f2521b3e32410dd25c8f7d4f9fd4a061,ai_boundary,threshold,,0,0.891045,0.803500,0.810580,0.989245,0.898679,0.995882,0.059279,small
