item_id,source,decoder,subgroup,is_real,f1,iou,precision,recall,accuracy,image_score,mask_area,bucket
a2af1f2af25134d0849567fafd54cb16,ai_boundary,threshold,,0,0.875937,0.779260,0.895357,0.857342,0.908104,0.999262,0.180268,medium
f543efca78fcb800290eb1a0e089c8ae,ai_boundary,threshold,,0,0.924939,0.860359,0.892025,0.960375,0.943878,0.999670,0.212358,medium
005dbfc81c9e2a6dae03208b00d0ee88,ai_boundary,threshold,,0,0.915476,0.844126,0.933500,0.898134,0.941915,0.999564,0.336819,large
d1c2d46e26becf6db9e1e2fc1de2c95b,ai_boundary,threshold,,0,0.929498,0.868282,0.919419,0.939799,0.911433,0.999724,0.456199,large
e3bf412ee67dcc0ee16cbedfe563b511,ai_boundary,threshold,,0,0.965204,0.932747,0.936301,0.995947,0.968369,0.997884,0.412686,large
6bd192c686fde21f7360ed34b835dace,ai_boundary,threshold,,0,0.954913,0.913716,0.936454,0.974114,0.967575,0.999525,0.079915,small
4a32aa90eef61e21baf2908fb5564a04,ai_boundary,threshold,,0,0.961881,0.926562,0.976652,0.947551,0.968327,0.999713,0.273349,medium
9909668efcc56d458f7f0d9ef15b335e,ai_boundary,threshold,,0,0.965362,0.933043,0.935580,0.997102,0.965920,0.999651,0.219044,medium
40c467e7804297a0efcfcf4b6d9da040,ai_boundary,threshold,,0,0.939883,0.886584,0.890030,0.995652,0.953110,0.999672,0.274846,medium
68a17de306540d2da2e1ffc7fb955b89,ai_boundary,threshold,,0,0.930272,0.869635,0.987524,0.879295,0.940280,0.999635,0.041499,tiny
7db25104ed44707a5e2996dbf5e7a335,ai_boundary,threshold,,0,0.970946,0.943532,0.949440,0.993449,0.965103,0.999491,0.239883,medium
0cb8cc24fc2b046c5ce379d20cb59b2f,ai_boundary,threshold,,0,0.835305,0.717188,0.719094,0.996319,0.848557,0.999218,0.111536,small
9bfb9e82c84fbee43d64091d71961559,ai_boundary,threshold,,0,0.644202,0.475146,0.475146,1.000000,0.475146,0.996637,0.141332,small
b5f1bcb2ef387c4506524788b45c7773,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.383682,0.009449,0.065736,small
b94f44b03da79e94bf18ca5332fc84c9,ai_boundary,threshold,,0,0.959788,0.922685,0.922905,0.999742,0.966461,0.999722,0.188651,medium
fe8054ffcf1c50341d016ad81777b2c5,ai_boundary,threshold,,0,0.859722,0.753959,0.753959,1.000000,0.885727,0.999724,0.208525,medium
04929d09f0213ef38434cfe20a48f6d1,ai_boundary,threshold,,0,0.902299,0.821990,0.822596,0.999105,0.922577,0.999757,0.377541,large
0876f41f049315bff67f972eb84bd9da,ai_boundary,threshold,,0,0.867958,0.766719,0.766719,1.000000,0.820654,0.999672,0.242739,medium
07ab61c47cb352c976a214f5ef5b5f23,ai_boundary,threshold,,0,0.963878,0.930276,0.930550,0.999683,0.971191,0.999711,0.232768,medium
f24da3eff10c46f55f0e83de560a0b75,ai_boundary,threshold,,0,0.860787,0.755599,0.755599,1.000000,0.834400,0.998817,0.703339,large
87cc17f9c853696080f2da30104d537d,ai_boundary,threshold,,0,0.968934,0.939740,0.941602,0.997900,0.963730,0.999483,0.179562,medium
e4124e8e422867edc441a763693e9a49,ai_boundary,threshold,,0,0.943260,0.892613,0.892613,1.000000,0.951346,0.999600,0.133090,small
fa1495c571ef275c9ac09c5e8124ec39,ai_boundary,threshold,,0,0.880831,0.787039,0.872102,0.889736,0.915464,0.999268,0.099489,small
eb6ec7ab7fe42019fba744dcb32007f7,ai_boundary,threshold,,0,0.898583,0.815842,0.815842,1.000000,0.919538,0.999687,0.714969,large
7cefd701863189ef39cf75a692dbd917,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.632739,0.001561,0.093864,small
81ae9c176820f539187036a2d223a283,ai_boundary,threshold,,0,0.961130,0.925168,0.927356,0.997456,0.969482,0.999682,0.103657,small
2633d6355b4069d28011af5d885670d0,ai_boundary,threshold,,0,0.926218,0.862576,0.890519,0.964899,0.944534,0.999323,0.137024,small
3e9dd46f3ba54ab18cc179f1c02be9ac,ai_boundary,threshold,,0,0.581211,0.409653,0.768734,0.467235,0.562983,0.994043,0.620075,large
726dbbfa9d1a07b12a62d43de1b58b0f,ai_boundary,threshold,,0,0.919693,0.851326,0.852193,0.998807,0.937546,0.999508,0.090632,small
5df49ca506141923d0cec2fb16433f98,ai_boundary,threshold,,0,0.883244,0.790902,0.876395,0.890201,0.849125,0.995189,0.425244,large
10a6700ba3494dd5f44e21297cbabef2,ai_boundary,threshold,,0,0.977573,0.956130,0.958221,0.997724,0.983618,0.999706,0.458945,large
5d0245a9e886ba288f560fbf93136ad7,ai_boundary,threshold,,0,0.844834,0.731353,0.895978,0.799214,0.877479,0.999633,0.331842,large
4751bab700079ae5b89a2e6fcff2c298,ai_boundary,threshold,,0,0.978443,0.957796,0.960053,0.997552,0.984117,0.995977,0.051073,small
3132a9e9e389219343e916cd4c333047,ai_boundary,threshold,,0,0.877952,0.782454,0.782454,1.000000,0.888718,0.999268,0.353070,large
94ccd0f7b6da25c63c174b3f26ae9fd6,ai_boundary,threshold,,0,0.742588,0.590569,0.590569,1.000000,0.742624,0.999735,0.141019,small
bdbfbdd55125f5b33aa4b255942dff1b,ai_boundary,threshold,,0,0.957547,0.918552,0.933268,0.983123,0.945107,0.999579,0.498779,large
d1bb136da8c527c79069c6e5f102d729,ai_boundary,threshold,,0,0.940260,0.887256,0.896517,0.988491,0.954338,0.999663,0.166976,medium
4c1d94f0f4e2f53d1a30915aeeba92ea,ai_boundary,threshold,,0,0.798274,0.664272,0.664272,1.000000,0.767487,0.999542,0.062451,small
f638696d70e4771514d15aeb405835a3,ai_boundary,threshold,,0,0.870132,0.770118,0.771576,0.997552,0.873559,0.999529,0.086911,small
f2521b3e32410dd25c8f7d4f9fd4a061,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.581191,0.028275,0.059279,small
