item_id,source,decoder,subgroup,is_real,f1,iou,precision,recall,accuracy,image_score,mask_area,bucket
a2af1f2af25134d0849567fafd54cb16,ai_boundary,threshold,,0,0.539996,0.369859,0.999757,0.369893,0.761536,0.998849,0.180268,medium
f543efca78fcb800290eb1a0e089c8ae,ai_boundary,threshold,,0,0.388104,0.240774,0.998770,0.240846,0.726562,0.997876,0.212358,medium
005dbfc81c9e2a6dae03208b00d0ee88,ai_boundary,threshold,,0,0.741646,0.589378,0.618100,0.926920,0.773822,0.996701,0.336819,large
d1c2d46e26becf6db9e1e2fc1de2c95b,ai_boundary,threshold,,0,0.952877,0.909996,0.959780,0.946073,0.941871,0.981382,0.456199,large
e3bf412ee67dcc0ee16cbedfe563b511,ai_boundary,threshold,,0,0.143000,0.077006,1.000000,0.077006,0.593430,0.404684,0.412686,large
6bd192c686fde21f7360ed34b835dace,ai_boundary,threshold,,0,0.945972,0.897483,0.948711,0.943249,0.962021,0.998505,0.079915,small
4a32aa90eef61e21baf2908fb5564a04,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.578267,0.010249,0.273349,medium
9909668efcc56d458f7f0d9ef15b335e,ai_boundary,threshold,,0,0.938705,0.884490,0.964370,0.914371,0.943127,0.998487,0.219044,medium
40c467e7804297a0efcfcf4b6d9da040,ai_boundary,threshold,,0,0.975674,0.952504,0.983769,0.967712,0.982236,0.998968,0.274846,medium
68a17de306540d2da2e1ffc7fb955b89,ai_boundary,threshold,,0,0.231057,0.130619,1.000000,0.130619,0.606112,0.996701,0.041499,tiny
7db25104ed44707a5e2996dbf5e7a335,ai_boundary,threshold,,0,0.695903,0.533628,0.977652,0.540217,0.722885,0.999003,0.239883,medium
0cb8cc24fc2b046c5ce379d20cb59b2f,ai_boundary,threshold,,0,0.185455,0.102205,0.999613,0.102209,0.653915,0.126138,0.111536,small
9bfb9e82c84fbee43d64091d71961559,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.524854,0.025468,0.141332,small
b5f1bcb2ef387c4506524788b45c7773,ai_boundary,threshold,,0,0.762620,0.616318,0.616318,1.000000,0.616318,0.991015,0.065736,small
b94f44b03da79e94bf18ca5332fc84c9,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.599635,0.019569,0.188651,medium
fe8054ffcf1c50341d016ad81777b2c5,ai_boundary,threshold,,0,0.860744,0.755532,0.787315,0.949279,0.892441,0.842992,0.208525,medium
04929d09f0213ef38434cfe20a48f6d1,ai_boundary,threshold,,0,0.553943,0.383071,0.998667,0.383267,0.779129,0.269806,0.377541,large
0876f41f049315bff67f972eb84bd9da,ai_boundary,threshold,,0,0.741705,0.589453,0.589453,1.000000,0.589453,0.990064,0.242739,medium
07ab61c47cb352c976a214f5ef5b5f23,ai_boundary,threshold,,0,0.943889,0.893741,0.970606,0.918605,0.958008,0.998028,0.232768,medium
f24da3eff10c46f55f0e83de560a0b75,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.488027,0.065366,0.703339,large
87cc17f9c853696080f2da30104d537d,ai_boundary,threshold,,0,0.950508,0.905685,0.956245,0.944841,0.944229,0.995372,0.179562,medium
e4124e8e422867edc441a763693e9a49,ai_boundary,threshold,,0,0.575924,0.404420,0.404420,1.000000,0.404420,0.982356,0.133090,small
fa1495c571ef275c9ac09c5e8124ec39,ai_boundary,threshold,,0,0.836120,0.718390,0.993737,0.721657,0.900666,0.939359,0.099489,small
eb6ec7ab7fe42019fba744dcb32007f7,ai_boundary,threshold,,0,0.719245,0.561579,0.998441,0.562072,0.843585,0.487468,0.714969,large
7cefd701863189ef39cf75a692dbd917,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.632739,0.035079,0.093864,small
81ae9c176820f539187036a2d223a283,ai_boundary,threshold,,0,0.974583,0.950426,0.957671,0.992103,0.980426,0.998731,0.103657,small
2633d6355b4069d28011af5d885670d0,ai_boundary,threshold,,0,0.670523,0.504351,0.988546,0.507316,0.820114,0.936518,0.137024,small
3e9dd46f3ba54ab18cc179f1c02be9ac,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.350959,0.010777,0.620075,large
726dbbfa9d1a07b12a62d43de1b58b0f,ai_boundary,threshold,,0,0.934740,0.877475,0.952370,0.917750,0.954117,0.993926,0.090632,small
5df49ca506141923d0cec2fb16433f98,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.358936,0.050705,0.425244,large
10a6700ba3494dd5f44e21297cbabef2,ai_boundary,threshold,,0,0.970433,0.942564,0.944933,0.997348,0.978251,0.994467,0.458945,large
5d0245a9e886ba288f560fbf93136ad7,ai_boundary,threshold,,0,0.406370,0.254996,0.983750,0.256075,0.687763,0.995282,0.331842,large
4751bab700079ae5b89a2e6fcff2c298,ai_boundary,threshold,,0,0.987327,0.974970,0.982539,0.992161,0.990796,0.999416,0.051073,small
3132a9e9e389219343e916cd4c333047,ai_boundary,threshold,,0,0.000000,0.000000,0.000000,0.000000,0.599747,0.005888,0.353070,large
94ccd0f7b6da25c63c174b3f26ae9fd6,ai_boundary,threshold,,0,0.975675,0.952506,0.971260,0.980131,0.981857,0.980506,0.141019,small
bdbfbdd55125f5b33aa4b255942dff1b,ai_boundary,threshold,,0,0.424509,0.269445,1.000000,0.269445,0.539972,0.999117,0.498779,large
d1bb136da8c527c79069c6e5f102d729,ai_boundary,threshold,,0,0.863798,0.760251,0.981609,0.771236,0.911585,0.998750,0.166976,medium
