item_id,source,decoder,subgroup,is_real,f1,iou,precision,recall,accuracy,image_score,mask_area,bucket
a2af1f2af25134d0849567fafd54cb16,ai_boundary,kmeans,,0,0.521950,0.353134,0.999745,0.353166,0.755207,0.998469,0.180268,medium
f543efca78fcb800290eb1a0e089c8ae,ai_boundary,kmeans,,0,0.522957,0.354057,0.894348,0.369512,0.757278,0.996530,0.212358,medium
005dbfc81c9e2a6dae03208b00d0ee88,ai_boundary,kmeans,,0,0.925783,0.861820,0.992266,0.867649,0.951277,0.996249,0.336819,large
d1c2d46e26becf6db9e1e2fc1de2c95b,ai_boundary,kmeans,,0,0.908544,0.832414,0.981458,0.845714,0.894228,0.998481,0.456199,large
e3bf412ee67dcc0ee16cbedfe563b511,ai_boundary,kmeans,,0,0.664044,0.497056,1.000000,0.497056,0.778458,0.968738,0.412686,large
6bd192c686fde21f7360ed34b835dace,ai_boundary,kmeans,,0,0.940300,0.887327,0.954430,0.926583,0.958527,0.997358,0.079915,small
4a32aa90eef61e21baf2908fb5564a04,ai_boundary,kmeans,,0,0.724723,0.568287,1.000000,0.568287,0.817932,0.013849,0.273349,medium
9909668efcc56d458f7f0d9ef15b335e,ai_boundary,kmeans,,0,0.977445,0.955885,0.975189,0.979712,0.978465,0.998125,0.219044,medium
40c467e7804297a0efcfcf4b6d9da040,ai_boundary,kmeans,,0,0.931393,0.871595,0.965158,0.899910,0.951193,0.996937,0.274846,medium
68a17de306540d2da2e1ffc7fb955b89,ai_boundary,kmeans,,0,0.151600,0.082017,0.171533,0.135818,0.311271,0.869715,0.041499,tiny
7db25104ed44707a5e2996dbf5e7a335,ai_boundary,kmeans,,0,0.922429,0.856026,0.966399,0.882286,0.912903,0.996146,0.239883,medium
0cb8cc24fc2b046c5ce379d20cb59b2f,ai_boundary,kmeans,,0,0.799943,0.666588,0.987897,0.672077,0.870422,0.989986,0.111536,small
9bfb9e82c84fbee43d64091d71961559,ai_boundary,kmeans,,0,0.838556,0.721994,1.000000,0.721994,0.867907,0.082254,0.141332,small
b5f1bcb2ef387c4506524788b45c7773,ai_boundary,kmeans,,0,0.692198,0.529283,0.827911,0.594712,0.674026,0.064065,0.065736,small
b94f44b03da79e94bf18ca5332fc84c9,ai_boundary,kmeans,,0,0.934005,0.876182,0.983423,0.889316,0.949684,0.995479,0.188651,medium
fe8054ffcf1c50341d016ad81777b2c5,ai_boundary,kmeans,,0,0.985939,0.972268,0.977473,0.994553,0.990067,0.998628,0.208525,medium
04929d09f0213ef38434cfe20a48f6d1,ai_boundary,kmeans,,0,0.966963,0.936039,0.966037,0.967890,0.976334,0.999030,0.377541,large
0876f41f049315bff67f972eb84bd9da,ai_boundary,kmeans,,0,0.972574,0.946612,0.953958,0.991931,0.967024,0.997686,0.242739,medium
07ab61c47cb352c976a214f5ef5b5f23,ai_boundary,kmeans,,0,0.985613,0.971635,0.981617,0.989642,0.988892,0.998706,0.232768,medium
f24da3eff10c46f55f0e83de560a0b75,ai_boundary,kmeans,,0,0.986893,0.974124,0.991848,0.981986,0.986645,0.997766,0.703339,large
87cc17f9c853696080f2da30104d537d,ai_boundary,kmeans,,0,0.974632,0.950519,0.959444,0.990309,0.970779,0.995479,0.179562,medium
e4124e8e422867edc441a763693e9a49,ai_boundary,kmeans,,0,0.978786,0.958453,0.977271,0.980305,0.982814,0.998638,0.133090,small
fa1495c571ef275c9ac09c5e8124ec39,ai_boundary,kmeans,,0,0.841118,0.725802,0.982512,0.735301,0.902459,0.994979,0.099489,small
eb6ec7ab7fe42019fba744dcb32007f7,ai_boundary,kmeans,,0,0.970192,0.942110,0.991751,0.949551,0.979202,0.997949,0.714969,large
7cefd701863189ef39cf75a692dbd917,ai_boundary,kmeans,,0,0.432045,0.275547,0.379626,0.501260,0.515992,0.012384,0.093864,small
81ae9c176820f539187036a2d223a283,ai_boundary,kmeans,,0,0.975119,0.951445,0.970480,0.979802,0.981086,0.998606,0.103657,small
2633d6355b4069d28011af5d885670d0,ai_boundary,kmeans,,0,0.709554,0.549852,0.978082,0.556711,0.835556,0.972099,0.137024,small
3e9dd46f3ba54ab18cc179f1c02be9ac,ai_boundary,kmeans,,0,0.083965,0.043822,0.111103,0.067482,0.044341,0.008745,0.620075,large
726dbbfa9d1a07b12a62d43de1b58b0f,ai_boundary,kmeans,,0,0.924728,0.859995,0.953508,0.897635,0.947678,0.998487,0.090632,small
5df49ca506141923d0cec2fb16433f98,ai_boundary,kmeans,,0,0.245821,0.140135,0.285100,0.216055,0.150133,0.635222,0.425244,large
10a6700ba3494dd5f44e21297cbabef2,ai_boundary,kmeans,,0,0.973630,0.948616,0.987133,0.960492,0.981381,0.998844,0.458945,large
5d0245a9e886ba288f560fbf93136ad7,ai_boundary,kmeans,,0,0.542586,0.372293,0.981237,0.374963,0.736153,0.999124,0.331842,large
4751bab700079ae5b89a2e6fcff2c298,ai_boundary,kmeans,,0,0.989304,0.978834,0.991518,0.987099,0.992287,0.998858,0.051073,small
3132a9e9e389219343e916cd4c333047,ai_boundary,kmeans,,0,0.833370,0.714340,0.995394,0.716709,0.885284,0.917451,0.353070,large
94ccd0f7b6da25c63c174b3f26ae9fd6,ai_boundary,kmeans,,0,0.975236,0.951668,0.980874,0.969662,0.981718,0.081813,0.141019,small
bdbfbdd55125f5b33aa4b255942dff1b,ai_boundary,kmeans,,0,0.431843,0.275383,1.000000,0.275383,0.543710,0.997177,0.498779,large
d1bb136da8c527c79069c6e5f102d729,ai_boundary,kmeans,,0,0.839409,0.723260,0.978720,0.734815,0.897790,0.984276,0.166976,medium
4c1d94f0f4e2f53d1a30915aeeba92ea,ai_boundary,kmeans,,0,0.950162,0.905057,0.959579,0.940929,0.954590,0.997054,0.062451,small
f638696d70e4771514d15aeb405835a3,ai_boundary,kmeans,,0,0.583732,0.412162,0.883860,0.435762,0.736098,0.996336,0.086911,small
f2521b3e32410dd25c8f7d4f9fd4a061,ai_boundary,kmeans,,0,0.966203,0.934615,0.994383,0.939575,0.972471,0.532091,0.059279,small
772d2355b046fd800c5f408ce3ccbc5a,ai_boundary,kmeans,,0,0.208962,0.116671,0.922259,0.117830,0.650289,0.997019,0.056991,small
6fb8504ea48ca3c60fa74b2225b5c267,ai_boundary,kmeans,,0,0.783210,0.643670,0.910746,0.687006,0.865206,0.998197,0.121132,small
cfe1b0b6a571024531477a29572cddbd,ai_boundary,kmeans,,0,0.568781,0.397410,0.970668,0.402241,0.712363,0.998427,0.159652,medium
5696bfc35348fdb4a911fa740ecaefda,ai_boundary,kmeans,,0,0.966706,0.935557,0.994925,0.940043,0.962698,0.655446,0.203234,medium
189f807987b272aece1e79a9f13ac994,ai_boundary,kmeans,,0,0.925122,0.860676,0.916703,0.933698,0.923720,0.978467,0.460966,large
d3e3ac064492f4ddbfc4e68cd15ca065,ai_boundary,kmeans,,0,0.727242,0.571391,0.860766,0.629581,0.784344,0.988268,0.433933,large
7586261fa72cb79c92525308110663fd,ai_boundary,kmeans,,0,0.958060,0.919497,0.937130,0.979947,0.963181,0.993307,0.129951,small
e6083a64a1b664c0aa06144b15893f0d,ai_boundary,kmeans,,0,0.846042,0.733165,0.915133,0.786651,0.887360,0.992274,0.088868,small
3a3ef1a73d3d7feef0f825462969cce9,ai_boundary,kmeans,,0,0.956672,0.916943,0.996493,0.919912,0.965488,0.996864,0.168732,medium
1759b3f566acd9a6d484e76323c76b6a,ai_boundary,kmeans,,0,0.823604,0.700108,1.000000,0.700108,0.876846,0.929696,0.050220,small
7bcb9f7a1493910829ec0ece61005dee,ai_boundary,kmeans,,0,0.979418,0.959667,0.990487,0.968595,0.984121,0.997327,0.270854,medium
c42926ef5c39b21ababf9292285d2c23,ai_boundary,kmeans,,0,0.969123,0.940096,0.999539,0.940504,0.976448,0.339390,0.527857,large
8650c3f5b824823100131a5b2f353fc3,ai_boundary,kmeans,,0,0.646639,0.477802,0.495722,0.929664,0.612178,0.017712,0.194782,medium
8465fcef8cd968ac195b066ab7817897,ai_boundary,kmeans,,0,0.956911,0.917381,0.988864,0.926958,0.956192,0.998125,0.158415,medium
2a40bcac966a95d3b4355c4c94776166,ai_boundary,kmeans,,0,0.879737,0.785295,0.849855,0.911797,0.905609,0.991456,0.101835,small
344185e118d2d46302f312c03aaa4762,ai_boundary,kmeans,,0,0.765243,0.619752,0.997841,0.620584,0.859974,0.997489,0.114337,small
470b617bd66f01963112020efcf3924b,ai_boundary,kmeans,,0,0.846066,0.733201,0.982850,0.742703,0.877809,0.014010,0.330195,large
e17687765824702b9a59c8c80db18ab4,ai_boundary,kmeans,,0,0.908069,0.831617,0.938577,0.879482,0.929821,0.996544,0.145945,small
9c7629370907502b6fcb43371107893a,ai_boundary,kmeans,,0,0.927033,0.863991,0.888824,0.968675,0.946244,0.996901,0.027377,tiny
507d175e188de94697f6345202385703,ai_boundary,kmeans,,0,0.974333,0.949950,0.986269,0.962682,0.972970,0.998020,0.378587,large
7cd1aa130ee1f43f8f2ac671dc2cc342,ai_boundary,kmeans,,0,0.981148,0.962993,0.993931,0.968689,0.977496,0.996392,0.142455,small
74d72051c165ca175a326bef6ca8a15a,ai_boundary,kmeans,,0,0.523432,0.354492,0.618072,0.453926,0.707504,0.988313,0.110840,small
bdba9823f1ae78903d4684d83e9e1282,ai_boundary,kmeans,,0,0.891095,0.803581,0.940570,0.846564,0.904743,0.998051,0.315088,large
10746430c3f803dd87ce0d59f58dc4e1,ai_boundary,kmeans,,0,0.481769,0.317323,0.995684,0.317760,0.621338,0.998197,0.305293,large
040adc0f6e5b41ca1629a131592fe9a2,ai_boundary,kmeans,,0,0.971202,0.944017,0.985803,0.957028,0.971147,0.943556,0.222774,medium
0f0351f12692999ff49d876f80b46b38,ai_boundary,kmeans,,0,0.011801,0.005936,0.026038,0.007630,0.260261,0.008985,0.126550,small
673cd20531d331a9de50652454455518,ai_boundary,kmeans,,0,0.854093,0.745342,0.945100,0.779073,0.876328,0.993661,0.104678,small
e16ebe86e48aa788573f681ec92675f1,ai_boundary,kmeans,,0,0.927840,0.865394,0.938923,0.917016,0.947929,0.994157,0.218432,medium
37561814edcc9683499ccf3a618f80c0,ai_boundary,kmeans,,0,0.979105,0.959066,0.960260,0.998705,0.978782,0.997677,0.209294,medium
aa7f2e79979b77a79220a03dcb941fd6,ai_boundary,kmeans,,0,0.843518,0.729383,0.998052,0.730423,0.872154,0.696887,0.275753,medium
20a59a23ab10cfdf96b858750ec3b7ca,ai_boundary,kmeans,,0,0.907477,0.830626,0.949910,0.868674,0.931600,0.997686,0.016075,tiny
ae1cf4b7d9a983d06b01661e6be9d8ff,ai_boundary,kmeans,,0,0.813891,0.686185,0.999994,0.686188,0.805756,0.997099,0.270577,medium
f3b231a994c7388b3f42d623f265c251,ai_boundary,kmeans,,0,0.912900,0.839757,0.994590,0.843611,0.910984,0.985882,0.601105,large
0909df20705c512e0f121ffb4f529a14,ai_boundary,kmeans,,0,0.987935,0.976157,0.986941,0.988930,0.986653,0.998812,0.458099,large
a108b74dd466a7e64e8f20fd2b96e498,ai_boundary,kmeans,,0,0.260884,0.150009,1.000000,0.150009,0.653038,0.997110,0.175822,medium
2b9f5c0cae39a3a1dc0c25ac26d3f816,ai_boundary,kmeans,,0,0.964065,0.930623,0.956866,0.971373,0.973907,0.998110,0.076868,small
6194ccb74330175a0eb544898c581931,ai_boundary,kmeans,,0,0.987320,0.974958,0.989726,0.984927,0.983627,0.997876,0.333391,large
c124cc4de84258e5c718a3c73c75d5b5,ai_boundary,kmeans,,0,0.569368,0.397983,0.924404,0.411372,0.668508,0.998680,0.545213,large
f3ef664695d74e2aeda28a8c64775d08,ai_boundary,kmeans,,0,0.950972,0.906526,0.987202,0.917307,0.952470,0.436022,0.093571,small
f71d3a0269378860c42bc518f472143d,ai_boundary,kmeans,,0,0.967733,0.937483,0.946482,0.989959,0.971263,0.994880,0.140804,small
1d08207dc7aaf7cfdc812f2aa3304887,ai_boundary,kmeans,,0,0.910970,0.836496,0.993818,0.840872,0.916463,0.024940,0.462584,large
18ce31bd81cbe59b26bdfc489643b56f,ai_boundary,kmeans,,0,0.670282,0.504078,0.997655,0.504676,0.691517,0.996336,0.224762,medium
596ddfd94a82d429e7d9943e202815c9,ai_boundary,kmeans,,0,0.770960,0.627286,0.656237,0.934291,0.751846,0.997099,0.123015,small
e30ad6fc47545a55af278d973c35d490,ai_boundary,kmeans,,0,0.984204,0.968899,0.990276,0.978205,0.983060,0.995977,0.156773,medium
abb3a0a42bf48cf11783b0bc6453f267,ai_boundary,kmeans,,0,0.450030,0.290347,1.000000,0.290347,0.634801,0.233008,0.152702,medium
dfac7ad94f6745b9acc4a2d49cb6edf6,ai_boundary,kmeans,,0,0.988314,0.976897,0.992439,0.984222,0.987965,0.016403,0.516479,large
2bf3ee7f22f57ad18ca87f87257d89d9,ai_boundary,kmeans,,0,0.940729,0.888091,0.997372,0.890175,0.930738,0.961893,0.423208,large
a1e846f30cb0ca55ba41f90c0d5d8598,ai_boundary,kmeans,,0,0.707646,0.547564,0.985830,0.551908,0.769341,0.967594,0.678185,large
0ae01ac7e65b2471cea73f0ec1aca324,ai_boundary,kmeans,,0,0.900022,0.818218,0.985695,0.828050,0.908432,0.024704,0.271911,medium
e16bb0c769c3e80135e3a5710a23556a,ai_boundary,kmeans,,0,0.957313,0.918122,0.953796,0.960857,0.947651,0.942507,0.424273,large
9d807144c74f164cf72a6630a75043dc,ai_boundary,kmeans,,0,0.884320,0.792628,0.998905,0.793317,0.915217,0.998853,0.158990,medium
94da70ef0e1a19efcf74a82419e00afa,ai_boundary,kmeans,,0,0.736636,0.583075,0.996692,0.584206,0.729464,0.967287,0.661636,large
3d7527f8490614abfeadadec8be96688,ai_boundary,kmeans,,0,0.848101,0.736263,0.799247,0.903316,0.861289,0.998020,0.216661,medium
6d2d51ef205d4fdb8da25a074794da07,ai_boundary,kmeans,,0,0.723809,0.567164,0.905696,0.602759,0.762438,0.993069,0.547766,large
f93a0bfd8d51354597b07e2de5dbecda,ai_boundary,kmeans,,0,0.978131,0.957198,0.962294,0.994498,0.974132,0.993996,0.192753,medium
e14798c048c86b437937c918d54683de,ai_boundary,kmeans,,0,0.768829,0.624470,0.968272,0.637515,0.810699,0.026355,0.248225,medium
e1dcf7347e6dca16963aa761e0461980,ai_boundary,kmeans,,0,0.979470,0.959767,0.988484,0.970620,0.983675,0.998433,0.417358,large
f4fc2a7e210f3e73a955aa0d305c2628,ai_boundary,kmeans,,0,0.706889,0.546658,0.961283,0.558964,0.788453,0.998197,0.288874,medium
b1f5dd0841c1c10082bccda7c931fa71,ai_boundary,kmeans,,0,0.980422,0.961597,0.985553,0.975345,0.985692,0.993307,0.192046,medium
9bb3bf415b6ceb617d575aad1bf159e0,ai_boundary,kmeans,,0,0.868780,0.768002,0.954500,0.797187,0.875704,0.174833,0.442819,large
219e081ad8ed20bf0cb3296a864db047,ai_boundary,kmeans,,0,0.374943,0.230726,1.000000,0.230726,0.655131,0.989712,0.264870,medium
f8802482a25c7022170107d375048da8,ai_boundary,kmeans,,0,0.962221,0.927193,0.989795,0.936142,0.958700,0.997177,0.386545,large
ef9e751269369fd1f571d6d3a614f050,ai_boundary,kmeans,,0,0.309887,0.183353,0.299679,0.320815,0.222114,0.997327,0.489182,large
6e5ea6bd6d1d21883ec0894f6d3d6e4d,ai_boundary,kmeans,,0,0.982611,0.965816,0.982018,0.983203,0.987408,0.998110,0.200131,medium
d1bf26f1544e6a70c8cee56f9297a67f,ai_boundary,kmeans,,0,0.946029,0.897586,0.903250,0.993062,0.950409,0.933794,0.051248,small
8b67d2ec3ef26c3423d40949e0cf30eb,ai_boundary,kmeans,,0,0.921692,0.854757,0.999935,0.854804,0.926675,0.996778,0.570579,large
b067c022c00e3dd6369ee90e16a1ca83,ai_boundary,kmeans,,0,0.645269,0.476308,1.000000,0.476308,0.676352,0.997099,0.464193,large
dce1a460e470385b6ce7870d6925b196,ai_boundary,kmeans,,0,0.805503,0.674344,0.955563,0.696176,0.872284,0.997379,0.160087,medium
183a3fbf7325455afb91e6dfa2cddc70,ai_boundary,kmeans,,0,0.981346,0.963376,0.974884,0.987895,0.978012,0.997774,0.421167,large
7d48c922edf73a30b71591407dccde85,ai_boundary,kmeans,,0,0.756820,0.608777,1.000000,0.608777,0.861414,0.998573,0.158407,medium
99c4f876e310aff6724b4741d5684ae7,ai_boundary,kmeans,,0,0.519626,0.351010,0.988573,0.352440,0.650986,0.966851,0.262829,medium
d9cf58ff98479f0bc5552ffb6866dac6,ai_boundary,kmeans,,0,0.747739,0.597111,0.698321,0.804685,0.735008,0.995801,0.152548,medium
e83366b48cad69a0f6f0a4e0cf934fec,ai_boundary,kmeans,,0,0.932342,0.873259,1.000000,0.873259,0.951202,0.021781,0.257523,medium
135aa637f2752c95d7522960a6430fd2,ai_boundary,kmeans,,0,0.789572,0.652308,0.979349,0.661406,0.780151,0.999141,0.489710,large
7594b4f1aa67167ef59322c8fbf7afec,ai_boundary,kmeans,,0,0.974414,0.950104,0.959883,0.989391,0.975209,0.998118,0.309799,large
00581ecdeb7f47a067c1b555baba3006,ai_boundary,kmeans,,0,0.697887,0.535965,1.000000,0.535965,0.817795,0.996039,0.097837,small
56a08dcb466ce7d9e33996991a081441,ai_boundary,kmeans,,0,0.768341,0.623825,0.890102,0.675883,0.840573,0.997409,0.107070,small
4cab253aa586abd2e57519a555f59020,ai_boundary,kmeans,,0,0.930722,0.870421,0.995318,0.873999,0.920073,0.997884,0.640555,large
1faa4ae9762b100a81ca28776b7b9b8f,ai_boundary,kmeans,,0,0.951555,0.907586,0.995630,0.911217,0.943124,0.994780,0.462321,large
d48646faa302a0946d9304eba4d4ada4,ai_boundary,kmeans,,0,0.725385,0.569101,0.999163,0.569372,0.848282,0.998245,0.121847,small
9b599df5ab5beb87e713dff0d00df5b9,ai_boundary,kmeans,,0,0.654393,0.486318,0.955029,0.497716,0.767737,0.997613,0.304619,large
3755435cba4698edcdf2a299382838d7,ai_boundary,kmeans,,0,0.711678,0.552407,0.856973,0.608509,0.825008,0.996727,0.042998,tiny
8ec1eee074d1470809133c6805b2756d,ai_boundary,kmeans,,0,0.972288,0.946071,0.982275,0.962503,0.978165,0.996688,0.173835,medium
e8c65fed24cfdeae8bd3eb97bbccff57,ai_boundary,kmeans,,0,0.978124,0.957184,0.993713,0.963016,0.973408,0.997221,0.229833,medium
7231e834f249f69425612017cfaa8b4c,ai_boundary,kmeans,,0,0.895003,0.809959,0.811030,0.998373,0.912125,0.962532,0.146203,small
0852cabcefaeb14b4f77c1529c2dc850,ai_boundary,kmeans,,0,0.037485,0.019100,0.033629,0.042339,0.019261,0.988403,0.271602,medium
3b5429ca6d8111be1da0bfa70beea7b9,ai_boundary,kmeans,,0,0.987169,0.974662,0.981357,0.993050,0.988763,0.998421,0.261241,medium
bc6d1251333bf6026240c3539dc5d84b,ai_boundary,kmeans,,0,0.965645,0.933572,0.996564,0.936586,0.968106,0.996278,0.353964,large
89171d7dfaa6e69f75fa4753c27f507a,ai_boundary,kmeans,,0,0.915736,0.844570,0.924653,0.906990,0.894546,0.999011,0.607212,large
73d328cc8e837b969b89813961385cf2,ai_boundary,kmeans,,0,0.985583,0.971575,0.998317,0.973169,0.988604,0.543439,0.170789,medium
ddf3067cc5a557cd25e0503ff27e77f3,ai_boundary,kmeans,,0,0.881170,0.787581,0.961913,0.812932,0.862255,0.998779,0.296706,medium
77a5c3d9c13c54224f940efdf13a3d98,ai_boundary,kmeans,,0,0.981217,0.963126,0.994582,0.968206,0.984162,0.997792,0.387935,large
10b02cd9662a7b21f37287d63c881bf7,ai_boundary,kmeans,,0,0.953423,0.910991,0.935647,0.971887,0.965920,0.989830,0.147891,small
8a88f0598ce19b31c9148f6bd1787e91,ai_boundary,kmeans,,0,0.842459,0.727801,0.903577,0.789085,0.888021,0.997722,0.192904,medium
386a0a912e658eaf8f1df0be257b9808,ai_boundary,kmeans,,0,0.968727,0.939351,0.969152,0.968302,0.977509,0.997826,0.214881,medium
33527ec51d79c71b3dc9eadeb527f2ba,ai_boundary,kmeans,,0,0.989734,0.979677,0.990398,0.989071,0.988210,0.974677,0.577039,large
25f772e62b5547ff00bcd77ec751ed40,ai_boundary,kmeans,,0,0.956665,0.916930,0.923804,0.991950,0.956223,0.998028,0.012639,tiny
