item_id,source,decoder,subgroup,is_real,f1,iou,precision,recall,accuracy,image_score,mask_area,bucket
a2af1f2af25134d0849567fafd54cb16,ai_boundary,kmeans,,0,0.815408,0.688345,0.893530,0.749848,0.871534,0.998706,0.180268,medium
f543efca78fcb800290eb1a0e089c8ae,ai_boundary,kmeans,,0,0.939708,0.886273,0.936524,0.942914,0.956436,0.999259,0.212358,medium
005dbfc81c9e2a6dae03208b00d0ee88,ai_boundary,kmeans,,0,0.924918,0.860323,0.986753,0.870375,0.950508,0.999110,0.336819,large
d1c2d46e26becf6db9e1e2fc1de2c95b,ai_boundary,kmeans,,0,0.905864,0.827926,0.947019,0.868137,0.887912,0.999242,0.456199,large
e3bf412ee67dcc0ee16cbedfe563b511,ai_boundary,kmeans,,0,0.930316,0.869711,0.989267,0.877996,0.942062,0.998774,0.412686,large
6bd192c686fde21f7360ed34b835dace,ai_boundary,kmeans,,0,0.955661,0.915088,0.951743,0.959612,0.968613,0.999395,0.079915,small
4a32aa90eef61e21baf2908fb5564a04,ai_boundary,kmeans,,0,0.981501,0.963675,0.980866,0.982138,0.984387,0.999427,0.273349,medium
9909668efcc56d458f7f0d9ef15b335e,ai_boundary,kmeans,,0,0.939566,0.886021,0.972296,0.908969,0.944308,0.999170,0.219044,medium
40c467e7804297a0efcfcf4b6d9da040,ai_boundary,kmeans,,0,0.980902,0.962520,0.985356,0.976488,0.986002,0.999518,0.274846,medium
68a17de306540d2da2e1ffc7fb955b89,ai_boundary,kmeans,,0,0.935681,0.879136,0.950375,0.921435,0.942606,0.998534,0.041499,tiny
7db25104ed44707a5e2996dbf5e7a335,ai_boundary,kmeans,,0,0.979569,0.959956,0.978198,0.980944,0.975983,0.999383,0.239883,medium
0cb8cc24fc2b046c5ce379d20cb59b2f,ai_boundary,kmeans,,0,0.874785,0.777439,0.784422,0.988679,0.890900,0.996434,0.111536,small
9bfb9e82c84fbee43d64091d71961559,ai_boundary,kmeans,,0,0.901170,0.820117,0.980862,0.833454,0.913140,0.994380,0.141332,small
b5f1bcb2ef387c4506524788b45c7773,ai_boundary,kmeans,,0,0.495869,0.329672,0.777150,0.364091,0.543732,0.780495,0.065736,small
b94f44b03da79e94bf18ca5332fc84c9,ai_boundary,kmeans,,0,0.969541,0.940883,0.948206,0.991859,0.975049,0.999473,0.188651,medium
fe8054ffcf1c50341d016ad81777b2c5,ai_boundary,kmeans,,0,0.986244,0.972861,0.976100,0.996601,0.990265,0.999425,0.208525,medium
04929d09f0213ef38434cfe20a48f6d1,ai_boundary,kmeans,,0,0.921860,0.855047,0.861318,0.991557,0.939850,0.999398,0.377541,large
0876f41f049315bff67f972eb84bd9da,ai_boundary,kmeans,,0,0.983220,0.966993,0.983781,0.982659,0.980229,0.999376,0.242739,medium
07ab61c47cb352c976a214f5ef5b5f23,ai_boundary,kmeans,,0,0.985459,0.971334,0.979910,0.991071,0.988754,0.999531,0.232768,medium
f24da3eff10c46f55f0e83de560a0b75,ai_boundary,kmeans,,0,0.984270,0.969027,0.979305,0.989285,0.983811,0.998826,0.703339,large
87cc17f9c853696080f2da30104d537d,ai_boundary,kmeans,,0,0.975378,0.951940,0.962519,0.988586,0.971710,0.998765,0.179562,medium
e4124e8e422867edc441a763693e9a49,ai_boundary,kmeans,,0,0.978889,0.958651,0.980315,0.977468,0.982949,0.999144,0.133090,small
fa1495c571ef275c9ac09c5e8124ec39,ai_boundary,kmeans,,0,0.884773,0.793358,0.923926,0.848804,0.922369,0.999019,0.099489,small
eb6ec7ab7fe42019fba744dcb32007f7,ai_boundary,kmeans,,0,0.979762,0.960327,0.990378,0.969371,0.985725,0.999359,0.714969,large
7cefd701863189ef39cf75a692dbd917,ai_boundary,kmeans,,0,0.837781,0.720845,0.749834,0.949098,0.865014,0.995372,0.093864,small
81ae9c176820f539187036a2d223a283,ai_boundary,kmeans,,0,0.977047,0.955123,0.975549,0.978549,0.982609,0.999489,0.103657,small
2633d6355b4069d28011af5d885670d0,ai_boundary,kmeans,,0,0.948771,0.902535,0.916552,0.983338,0.961685,0.998750,0.137024,small
3e9dd46f3ba54ab18cc179f1c02be9ac,ai_boundary,kmeans,,0,0.936118,0.879908,0.892880,0.983757,0.912856,0.997901,0.620075,large
726dbbfa9d1a07b12a62d43de1b58b0f,ai_boundary,kmeans,,0,0.960795,0.924548,0.934111,0.989048,0.971100,0.999245,0.090632,small
5df49ca506141923d0cec2fb16433f98,ai_boundary,kmeans,,0,0.780484,0.639995,0.998564,0.640585,0.769001,0.998960,0.425244,large
10a6700ba3494dd5f44e21297cbabef2,ai_boundary,kmeans,,0,0.986406,0.973176,0.980237,0.992653,0.990209,0.999533,0.458945,large
5d0245a9e886ba288f560fbf93136ad7,ai_boundary,kmeans,,0,0.706528,0.546226,0.934722,0.567889,0.803110,0.999393,0.331842,large
4751bab700079ae5b89a2e6fcff2c298,ai_boundary,kmeans,,0,0.989283,0.978793,0.993426,0.985174,0.992287,0.998853,0.051073,small
3132a9e9e389219343e916cd4c333047,ai_boundary,kmeans,,0,0.947455,0.900157,0.912620,0.985056,0.956268,0.995818,0.353070,large
94ccd0f7b6da25c63c174b3f26ae9fd6,ai_boundary,kmeans,,0,0.965344,0.933010,0.946539,0.984911,0.973747,0.999416,0.141019,small
bdbfbdd55125f5b33aa4b255942dff1b,ai_boundary,kmeans,,0,0.952805,0.909863,0.984325,0.923240,0.942407,0.998345,0.498779,large
d1bb136da8c527c79069c6e5f102d729,ai_boundary,kmeans,,0,0.970246,0.942211,0.960513,0.980178,0.978146,0.999487,0.166976,medium
4c1d94f0f4e2f53d1a30915aeeba92ea,ai_boundary,kmeans,,0,0.922493,0.856136,0.856623,0.999337,0.922745,0.999371,0.062451,small
f638696d70e4771514d15aeb405835a3,ai_boundary,kmeans,,0,0.933759,0.875749,0.878450,0.996502,0.939966,0.998043,0.086911,small
f2521b3e32410dd25c8f7d4f9fd4a061,ai_boundary,kmeans,,0,0.974874,0.950979,0.978069,0.971699,0.979022,0.997997,0.059279,small
772d2355b046fd800c5f408ce3ccbc5a,ai_boundary,kmeans,,0,0.215634,0.120846,0.825722,0.124009,0.646345,0.999170,0.056991,small
6fb8504ea48ca3c60fa74b2225b5c267,ai_boundary,kmeans,,0,0.924873,0.860245,0.959959,0.892261,0.948624,0.998606,0.121132,small
cfe1b0b6a571024531477a29572cddbd,ai_boundary,kmeans,,0,0.979086,0.959028,0.976675,0.981508,0.980225,0.999359,0.159652,medium
5696bfc35348fdb4a911fa740ecaefda,ai_boundary,kmeans,,0,0.974117,0.949540,0.988678,0.959978,0.970612,0.997379,0.203234,medium
189f807987b272aece1e79a9f13ac994,ai_boundary,kmeans,,0,0.941604,0.889652,0.937644,0.945597,0.940807,0.998463,0.460966,large
d3e3ac064492f4ddbfc4e68cd15ca065,ai_boundary,kmeans,,0,0.920475,0.852667,0.892909,0.949798,0.925057,0.997868,0.433933,large
7586261fa72cb79c92525308110663fd,ai_boundary,kmeans,,0,0.967298,0.936668,0.956735,0.978098,0.971619,0.999124,0.129951,small
e6083a64a1b664c0aa06144b15893f0d,ai_boundary,kmeans,,0,0.926925,0.863802,0.954925,0.900520,0.944138,0.998168,0.088868,small
3a3ef1a73d3d7feef0f825462969cce9,ai_boundary,kmeans,,0,0.954092,0.912214,0.917033,0.994273,0.960370,0.999412,0.168732,medium
1759b3f566acd9a6d484e76323c76b6a,ai_boundary,kmeans,,0,0.943698,0.893398,0.949214,0.938245,0.954025,0.999089,0.050220,small
7bcb9f7a1493910829ec0ece61005dee,ai_boundary,kmeans,,0,0.977277,0.955563,0.991724,0.963244,0.982528,0.998499,0.270854,medium
c42926ef5c39b21ababf9292285d2c23,ai_boundary,kmeans,,0,0.985900,0.972193,0.995985,0.976018,0.989029,0.998960,0.527857,large
8650c3f5b824823100131a5b2f353fc3,ai_boundary,kmeans,,0,0.972233,0.945966,0.965238,0.979330,0.978648,0.999202,0.194782,medium
8465fcef8cd968ac195b066ab7817897,ai_boundary,kmeans,,0,0.986539,0.973436,0.984255,0.988834,0.985840,0.999423,0.158415,medium
2a40bcac966a95d3b4355c4c94776166,ai_boundary,kmeans,,0,0.827055,0.705110,0.706903,0.996417,0.842214,0.997766,0.101835,small
344185e118d2d46302f312c03aaa4762,ai_boundary,kmeans,,0,0.385676,0.238908,0.731416,0.261883,0.693187,0.998690,0.114337,small
470b617bd66f01963112020efcf3924b,ai_boundary,kmeans,,0,0.820407,0.695500,0.842393,0.799539,0.841732,0.999402,0.330195,large
e17687765824702b9a59c8c80db18ab4,ai_boundary,kmeans,,0,0.956987,0.917521,0.963045,0.951004,0.966309,0.999445,0.145945,small
9c7629370907502b6fcb43371107893a,ai_boundary,kmeans,,0,0.814623,0.687227,0.687227,1.000000,0.839558,0.997965,0.027377,tiny
507d175e188de94697f6345202385703,ai_boundary,kmeans,,0,0.979666,0.960142,0.984362,0.975014,0.978430,0.999470,0.378587,large
7cd1aa130ee1f43f8f2ac671dc2cc342,ai_boundary,kmeans,,0,0.978609,0.958114,0.965332,0.992255,0.973776,0.999030,0.142455,small
74d72051c165ca175a326bef6ca8a15a,ai_boundary,kmeans,,0,0.667636,0.501091,0.501091,1.000000,0.647675,0.998096,0.110840,small
bdba9823f1ae78903d4684d83e9e1282,ai_boundary,kmeans,,0,0.954565,0.913079,0.946803,0.962454,0.957822,0.998510,0.315088,large
10746430c3f803dd87ce0d59f58dc4e1,ai_boundary,kmeans,,0,0.499019,0.332462,0.760277,0.371395,0.586945,0.998534,0.305293,large
040adc0f6e5b41ca1629a131592fe9a2,ai_boundary,kmeans,,0,0.978956,0.958780,0.977517,0.980400,0.978572,0.998665,0.222774,medium
0f0351f12692999ff49d876f80b46b38,ai_boundary,kmeans,,0,0.048631,0.024922,0.059258,0.041236,0.065941,0.996378,0.126550,small
673cd20531d331a9de50652454455518,ai_boundary,kmeans,,0,0.889951,0.801722,0.833869,0.954120,0.890366,0.998232,0.104678,small
e16ebe86e48aa788573f681ec92675f1,ai_boundary,kmeans,,0,0.942472,0.891203,0.918163,0.968103,0.956855,0.998622,0.218432,medium
37561814edcc9683499ccf3a618f80c0,ai_boundary,kmeans,,0,0.956931,0.917419,0.918113,0.999176,0.955231,0.999325,0.209294,medium
aa7f2e79979b77a79220a03dcb941fd6,ai_boundary,kmeans,,0,0.865004,0.762120,0.917638,0.818080,0.879540,0.998871,0.275753,medium
20a59a23ab10cfdf96b858750ec3b7ca,ai_boundary,kmeans,,0,0.922532,0.856204,0.879952,0.969442,0.937129,0.999361,0.016075,tiny
ae1cf4b7d9a983d06b01661e6be9d8ff,ai_boundary,kmeans,,0,0.973869,0.949068,0.962762,0.985234,0.967273,0.998339,0.270577,medium
f3b231a994c7388b3f42d623f265c251,ai_boundary,kmeans,,0,0.977458,0.955910,0.966511,0.988656,0.974784,0.998888,0.601105,large
0909df20705c512e0f121ffb4f529a14,ai_boundary,kmeans,,0,0.977397,0.955793,0.985568,0.969361,0.975227,0.999369,0.458099,large
a108b74dd466a7e64e8f20fd2b96e498,ai_boundary,kmeans,,0,0.968354,0.938649,0.986544,0.950822,0.974632,0.998943,0.175822,medium
2b9f5c0cae39a3a1dc0c25ac26d3f816,ai_boundary,kmeans,,0,0.966080,0.934386,0.962466,0.969721,0.975464,0.999421,0.076868,small
6194ccb74330175a0eb544898c581931,ai_boundary,kmeans,,0,0.988061,0.976403,0.986486,0.989641,0.984521,0.999317,0.333391,large
c124cc4de84258e5c718a3c73c75d5b5,ai_boundary,kmeans,,0,0.614113,0.443119,0.982583,0.446627,0.700993,0.999307,0.545213,large
f3ef664695d74e2aeda28a8c64775d08,ai_boundary,kmeans,,0,0.987688,0.975675,0.986200,0.989180,0.987607,0.999131,0.093571,small
f71d3a0269378860c42bc518f472143d,ai_boundary,kmeans,,0,0.810107,0.680823,0.680823,1.000000,0.795925,0.998835,0.140804,small
1d08207dc7aaf7cfdc812f2aa3304887,ai_boundary,kmeans,,0,0.977557,0.956100,0.979216,0.975904,0.977225,0.999388,0.462584,large
18ce31bd81cbe59b26bdfc489643b56f,ai_boundary,kmeans,,0,0.918187,0.848749,0.946704,0.891338,0.901312,0.998875,0.224762,medium
596ddfd94a82d429e7d9943e202815c9,ai_boundary,kmeans,,0,0.754777,0.606137,0.607678,0.995836,0.710739,0.997459,0.123015,small
e30ad6fc47545a55af278d973c35d490,ai_boundary,kmeans,,0,0.991056,0.982271,0.987983,0.994149,0.990320,0.999230,0.156773,medium
abb3a0a42bf48cf11783b0bc6453f267,ai_boundary,kmeans,,0,0.975561,0.952289,0.976399,0.974725,0.974868,0.999374,0.152702,medium
dfac7ad94f6745b9acc4a2d49cb6edf6,ai_boundary,kmeans,,0,0.987998,0.976281,0.995876,0.980243,0.987686,0.992711,0.516479,large
2bf3ee7f22f57ad18ca87f87257d89d9,ai_boundary,kmeans,,0,0.966877,0.935878,0.980890,0.953259,0.959672,0.999230,0.423208,large
a1e846f30cb0ca55ba41f90c0d5d8598,ai_boundary,kmeans,,0,0.013224,0.006656,0.013423,0.013031,0.016334,0.994677,0.678185,large
0ae01ac7e65b2471cea73f0ec1aca324,ai_boundary,kmeans,,0,0.851952,0.742088,0.742139,0.999908,0.827026,0.998232,0.271911,medium
e16bb0c769c3e80135e3a5710a23556a,ai_boundary,kmeans,,0,0.962547,0.927797,0.958094,0.967041,0.954024,0.996205,0.424273,large
9d807144c74f164cf72a6630a75043dc,ai_boundary,kmeans,,0,0.980844,0.962409,0.979622,0.982070,0.984331,0.999391,0.158990,medium
94da70ef0e1a19efcf74a82419e00afa,ai_boundary,kmeans,,0,0.992462,0.985036,0.989507,0.995433,0.990206,0.997800,0.661636,large
3d7527f8490614abfeadadec8be96688,ai_boundary,kmeans,,0,0.833292,0.714225,0.764388,0.915849,0.842911,0.998716,0.216661,medium
6d2d51ef205d4fdb8da25a074794da07,ai_boundary,kmeans,,0,0.969216,0.940271,0.952592,0.986430,0.967639,0.998628,0.547766,large
f93a0bfd8d51354597b07e2de5dbecda,ai_boundary,kmeans,,0,0.950324,0.905350,0.975618,0.926309,0.943667,0.998893,0.192753,medium
e14798c048c86b437937c918d54683de,ai_boundary,kmeans,,0,0.984137,0.968769,0.978143,0.990204,0.984238,0.999110,0.248225,medium
e1dcf7347e6dca16963aa761e0461980,ai_boundary,kmeans,,0,0.979830,0.960457,0.985813,0.973919,0.983912,0.999338,0.417358,large
f4fc2a7e210f3e73a955aa0d305c2628,ai_boundary,kmeans,,0,0.971241,0.944090,0.957808,0.985056,0.973378,0.999245,0.288874,medium
b1f5dd0841c1c10082bccda7c931fa71,ai_boundary,kmeans,,0,0.978190,0.957311,0.984908,0.971564,0.984086,0.999288,0.192046,medium
9bb3bf415b6ceb617d575aad1bf159e0,ai_boundary,kmeans,,0,0.907217,0.830190,0.845935,0.978071,0.896740,0.991907,0.442819,large
