item_id,source,decoder,subgroup,is_real,f1,iou,precision,recall,accuracy,image_score,mask_area,bucket
a2af1f2af25134d0849567fafd54cb16,ai_boundary,kmeans,,0,0.326143,0.194845,0.999538,0.194863,0.695306,0.996864,0.180268,medium
f543efca78fcb800290eb1a0e089c8ae,ai_boundary,kmeans,,0,0.108951,0.057614,0.405295,0.062934,0.629364,0.914291,0.212358,medium
005dbfc81c9e2a6dae03208b00d0ee88,ai_boundary,kmeans,,0,0.898008,0.814895,0.995561,0.817866,0.934933,0.774071,0.336819,large
d1c2d46e26becf6db9e1e2fc1de2c95b,ai_boundary,kmeans,,0,0.937631,0.882585,0.982170,0.896956,0.925871,0.094845,0.456199,large
e3bf412ee67dcc0ee16cbedfe563b511,ai_boundary,kmeans,,0,0.925683,0.861648,0.989167,0.869856,0.938477,0.299003,0.412686,large
6bd192c686fde21f7360ed34b835dace,ai_boundary,kmeans,,0,0.831085,0.710988,0.985107,0.718713,0.897018,0.997686,0.079915,small
4a32aa90eef61e21baf2908fb5564a04,ai_boundary,kmeans,,0,0.708306,0.548355,0.772375,0.654053,0.772811,0.012054,0.273349,medium
9909668efcc56d458f7f0d9ef15b335e,ai_boundary,kmeans,,0,0.794892,0.659602,0.985555,0.666041,0.836293,0.989551,0.219044,medium
40c467e7804297a0efcfcf4b6d9da040,ai_boundary,kmeans,,0,0.959358,0.921890,0.995988,0.925326,0.971137,0.990839,0.274846,medium
68a17de306540d2da2e1ffc7fb955b89,ai_boundary,kmeans,,0,0.173073,0.094735,0.204728,0.149897,0.351036,0.960435,0.041499,tiny
7db25104ed44707a5e2996dbf5e7a335,ai_boundary,kmeans,,0,0.532725,0.363071,0.981708,0.365544,0.623611,0.998183,0.239883,medium
0cb8cc24fc2b046c5ce379d20cb59b2f,ai_boundary,kmeans,,0,0.785167,0.646317,0.992260,0.649592,0.862976,0.267026,0.111536,small
9bfb9e82c84fbee43d64091d71961559,ai_boundary,kmeans,,0,0.831182,0.711130,1.000000,0.711130,0.862745,0.065128,0.141332,small
b5f1bcb2ef387c4506524788b45c7773,ai_boundary,kmeans,,0,0.745440,0.594185,0.768164,0.724023,0.695236,0.440439,0.065736,small
b94f44b03da79e94bf18ca5332fc84c9,ai_boundary,kmeans,,0,0.053169,0.027311,0.043767,0.067716,0.034419,0.015015,0.188651,medium
fe8054ffcf1c50341d016ad81777b2c5,ai_boundary,kmeans,,0,0.000000,0.000000,0.000000,0.000000,0.564133,0.358690,0.208525,medium
04929d09f0213ef38434cfe20a48f6d1,ai_boundary,kmeans,,0,0.966290,0.934778,0.974418,0.958296,0.976074,0.069795,0.377541,large
