cell,kind,name,metric,stratum,n,median,mean,p25,p75
bce_inpaint_s0,reals,real,pred_pos_frac,all,5000,0.0,0.0077665864,0.0,0.0
bce_inpaint_s0,overall,all_generators,auroc,all,8932,0.9442157680569685,0.9442157680569685,nan,nan
bce_inpaint_s0,generator,chroma,pred_pos_frac,all,39,0.262233,0.3934332820512821,0.09045149999999999,0.751748
bce_inpaint_s0,generator,chroma,auroc,all,5039,0.966474358974359,0.966474358974359,nan,nan
bce_inpaint_s0,generator,dalle-3,pred_pos_frac,all,185,0.632483,0.6099408054054055,0.418372,0.822595
bce_inpaint_s0,generator,dalle-3,auroc,all,5185,0.9912259459459459,0.9912259459459459,nan,nan
bce_inpaint_s0,generator,flux-1.1-pro,pred_pos_frac,all,185,0.0,0.06239296756756756,0.0,0.00513
bce_inpaint_s0,generator,flux-1.1-pro,auroc,all,5185,0.7916151351351352,0.7916151351351352,nan,nan
bce_inpaint_s0,generator,flux-amateursnapshotphotos,pred_pos_frac,all,26,0.0,0.11893849999999999,0.0,0.14751375
bce_inpaint_s0,generator,flux-amateursnapshotphotos,auroc,all,5026,0.8749538461538462,0.8749538461538462,nan,nan
bce_inpaint_s0,generator,flux-mvc5000,pred_pos_frac,all,147,0.0,0.020151938775510202,0.0,0.0
bce_inpaint_s0,generator,flux-mvc5000,auroc,all,5147,0.663552380952381,0.663552380952381,nan,nan
bce_inpaint_s0,generator,flux-realism,pred_pos_frac,all,4,0.262011,0.2716655,0.007544250000000001,0.52613225
bce_inpaint_s0,generator,flux-realism,auroc,all,5004,0.9464,0.9464,nan,nan
bce_inpaint_s0,generator,flux.1-dev,pred_pos_frac,all,185,0.027997,0.21242661081081082,0.0,0.385582
bce_inpaint_s0,generator,flux.1-dev,auroc,all,5185,0.9065675675675676,0.9065675675675676,nan,nan
bce_inpaint_s0,generator,flux.1-schnell,pred_pos_frac,all,185,0.307475,0.34593035675675676,0.041996,0.598143
bce_inpaint_s0,generator,flux.1-schnell,auroc,all,5185,0.965527027027027,0.965527027027027,nan,nan
bce_inpaint_s0,generator,gpt-image-1,pred_pos_frac,all,185,0.264979,0.3252496216216216,0.02175,0.517788
bce_inpaint_s0,generator,gpt-image-1,auroc,all,5185,0.9670897297297297,0.9670897297297297,nan,nan
bce_inpaint_s0,generator,grok-2-image-1212,pred_pos_frac,all,96,0.3291225,0.33523033333333335,0.05266125,0.5355425
bce_inpaint_s0,generator,grok-2-image-1212,auroc,all,5096,0.97475625,0.97475625,nan,nan
bce_inpaint_s0,generator,hidream-i1-full,pred_pos_frac,all,185,0.222084,0.3399814756756757,0.005118,0.645982
bce_inpaint_s0,generator,hidream-i1-full,auroc,all,5185,0.9587205405405406,0.9587205405405406,nan,nan
bce_inpaint_s0,generator,ideogram-3.0,pred_pos_frac,all,185,0.0,0.1710168918918919,0.0,0.281511
bce_inpaint_s0,generator,ideogram-3.0,auroc,all,5185,0.8769610810810811,0.8769610810810811,nan,nan
bce_inpaint_s0,generator,imagen-3.0-002,pred_pos_frac,all,34,0.0,0.08624973529411765,0.0,0.10393925
bce_inpaint_s0,generator,imagen-3.0-002,auroc,all,5034,0.8822794117647059,0.8822794117647059,nan,nan
bce_inpaint_s0,generator,imagen-4.0,pred_pos_frac,all,101,0.07394,0.2412959504950495,0.0,0.480804
bce_inpaint_s0,generator,imagen-4.0,auroc,all,5101,0.9045356435643565,0.9045356435643565,nan,nan
bce_inpaint_s0,generator,midjourney-6,pred_pos_frac,all,185,0.089252,0.23753665945945945,0.0,0.479394
bce_inpaint_s0,generator,midjourney-6,auroc,all,5185,0.937607027027027,0.937607027027027,nan,nan
bce_inpaint_s0,generator,midjourney-7,pred_pos_frac,all,20,0.0904735,0.18220609999999998,0.0,0.2073315
bce_inpaint_s0,generator,midjourney-7,auroc,all,5020,0.91494,0.91494,nan,nan
bce_inpaint_s0,generator,mystic,pred_pos_frac,all,142,0.149783,0.2933994929577465,0.0159085,0.4975805
bce_inpaint_s0,generator,mystic,auroc,all,5142,0.9420697183098592,0.9420697183098592,nan,nan
bce_inpaint_s0,generator,sd-1.5,pred_pos_frac,all,176,0.9152815,0.8301776079545454,0.76964925,1.0
bce_inpaint_s0,generator,sd-1.5,auroc,all,5176,0.99513125,0.99513125,nan,nan
bce_inpaint_s0,generator,sd-1.5-dreamshaper,pred_pos_frac,all,176,0.8565075,0.7587639374999999,0.58306775,0.98781375
bce_inpaint_s0,generator,sd-1.5-dreamshaper,auroc,all,5176,0.9937238636363637,0.9937238636363637,nan,nan
bce_inpaint_s0,generator,sd-1.5-epicdream,pred_pos_frac,all,185,0.445377,0.4614412972972973,0.123739,0.7809
bce_inpaint_s0,generator,sd-1.5-epicdream,auroc,all,5185,0.9755405405405405,0.9755405405405405,nan,nan
bce_inpaint_s0,generator,sd-2.1,pred_pos_frac,all,189,1.0,0.886996417989418,0.840522,1.0
bce_inpaint_s0,generator,sd-2.1,auroc,all,5189,0.9978275132275132,0.9978275132275132,nan,nan
bce_inpaint_s0,generator,sd-3.5,pred_pos_frac,all,192,0.23598550000000001,0.33908661458333333,0.030933500000000003,0.56528775
bce_inpaint_s0,generator,sd-3.5,auroc,all,5192,0.9559010416666667,0.9559010416666667,nan,nan
bce_inpaint_s0,generator,sdxl,pred_pos_frac,all,185,0.955404,0.8368085351351352,0.749746,1.0
bce_inpaint_s0,generator,sdxl,auroc,all,5185,0.9973924324324325,0.9973924324324325,nan,nan
bce_inpaint_s0,generator,sdxl-epic-realism,pred_pos_frac,all,185,0.469752,0.5054045351351351,0.222326,0.829065
bce_inpaint_s0,generator,sdxl-epic-realism,auroc,all,5185,0.9848951351351352,0.9848951351351352,nan,nan
bce_inpaint_s0,generator,sdxl-juggernaut,pred_pos_frac,all,185,0.66972,0.6288772540540539,0.398234,0.914778
bce_inpaint_s0,generator,sdxl-juggernaut,auroc,all,5185,0.9906,0.9906,nan,nan
bce_inpaint_s0,generator,sdxl-realvis-v5,pred_pos_frac,all,185,0.331904,0.39571059459459457,0.066428,0.689869
bce_inpaint_s0,generator,sdxl-realvis-v5,auroc,all,5185,0.9664410810810811,0.9664410810810811,nan,nan
bce_inpaint_s0,generator,sdxl-touchofrealism,pred_pos_frac,all,185,0.871119,0.7603884162162161,0.595743,0.992412
