cell,kind,name,metric,stratum,n,median,mean,p25,p75
bce_inpaint_s0,condition,ai_boundary,f1,all,40,0.9164135,0.906308325,0.87933125,0.97001675
bce_inpaint_s0,condition,ai_boundary,iou,all,40,0.8457275,0.8357775000000001,0.7846585,0.94177925
bce_inpaint_s0,condition,ai_boundary,image_score,all,40,0.9996240000000001,0.999556475,0.99951375,0.9996625
bce_inpaint_s0,condition,ai_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
bce_inpaint_s0,condition,ai_interior,f1,all,6,1.0,1.0,1.0,1.0
bce_inpaint_s0,condition,ai_interior,iou,all,6,1.0,1.0,1.0,1.0
bce_inpaint_s0,condition,ai_interior,image_score,all,6,0.9995160000000001,0.9984505,0.9991845,0.999645
bce_inpaint_s0,condition,ai_interior,pred_pos_frac,all,6,1.0,1.0,1.0,1.0
bce_inpaint_s0,condition,fr_bg,f1,all,0,nan,nan,nan,nan
bce_inpaint_s0,condition,fr_bg,iou,all,0,nan,nan,nan,nan
bce_inpaint_s0,condition,fr_bg,image_score,all,31,0.001466,0.18673458064516132,0.0011765,0.029301
bce_inpaint_s0,condition,fr_bg,pred_pos_frac,all,31,0.0,0.062088612903225815,0.0,0.0
bce_inpaint_s0,condition,real_crop,f1,all,0,nan,nan,nan,nan
bce_inpaint_s0,condition,real_crop,iou,all,0,nan,nan,nan,nan
bce_inpaint_s0,condition,real_crop,image_score,all,6,0.0012205,0.0011956666666666667,0.0009805,0.00132925
bce_inpaint_s0,condition,real_crop,pred_pos_frac,all,6,0.0,0.0,0.0,0.0
bce_inpaint_s0,condition,sp_boundary,f1,all,6,0.0,0.2761383333333333,0.0,0.61832025
bce_inpaint_s0,condition,sp_boundary,iou,all,6,0.0,0.235703,0.0,0.5259735
bce_inpaint_s0,condition,sp_boundary,image_score,all,6,0.001828,0.3316773333333333,0.00132625,0.7422850000000001
bce_inpaint_s0,condition,sp_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
bce_inpaint_s0,contrast,ai_interior|real_crop,auc,all,6,1.0,1.0,nan,nan
bce_inpaint_s0,contrast,ai_interior|real_crop,auc,bucket=medium,4,1.0,1.0,nan,nan
bce_inpaint_s0,contrast,ai_interior|real_crop,auc,bucket=large,2,1.0,1.0,nan,nan
bce_inpaint_s0,contrast,ai_interior|sp_interior,auc,all,0,nan,nan,nan,nan
bce_inpaint_s0,contrast,ai_interior|sp_interior,auc,bucket=medium,0,nan,nan,nan,nan
bce_inpaint_s0,contrast,ai_interior|sp_interior,auc,bucket=large,0,nan,nan,nan,nan
bce_inpaint_s0,contrast,sp_interior|real_crop,auc,all,0,nan,nan,nan,nan
bce_inpaint_s0,contrast,ai_interior|fr_bg,auc,all,6,0.989247311827957,0.989247311827957,nan,nan
bce_inpaint_s0,contrast,ai_boundary|sp_boundary,auc,all,6,1.0,1.0,nan,nan
bce_inpaint_s0,contrast,ai_boundary|ai_interior,auc,all,6,0.6416666666666667,0.6416666666666667,nan,nan
bce_inpaint_s0,contrast,sp_boundary|sp_interior,auc,all,0,nan,nan,nan,nan
bce_inpaint_s0,matched_pairs,ai_interior|real_crop,win_rate,all,6,1.0,0.9972548333333334,0.9984505,0.0011956666666666667
bce_splice_s0,condition,ai_boundary,f1,all,40,0.8077075,0.6320916999999999,0.412142,0.9394232499999999
bce_splice_s0,condition,ai_boundary,iou,all,40,0.6774465000000001,0.5520226,0.26443125,0.88579925
bce_splice_s0,condition,ai_boundary,image_score,all,40,0.9906995000000001,0.8042795500000001,0.9287475,0.99806425
bce_splice_s0,condition,ai_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
bce_splice_s0,condition,ai_interior,f1,all,6,0.0,0.15092333333333333,0.0,0.10646775
bce_splice_s0,condition,ai_interior,iou,all,6,0.0,0.11566316666666666,0.0,0.0573015
bce_splice_s0,condition,ai_interior,image_score,all,6,0.013476,0.19528766666666666,0.00999125,0.24926425000000002
bce_splice_s0,condition,ai_interior,pred_pos_frac,all,6,0.0,0.11566316666666666,0.0,0.0573015
bce_splice_s0,condition,fr_bg,f1,all,0,nan,nan,nan,nan
bce_splice_s0,condition,fr_bg,iou,all,0,nan,nan,nan,nan
bce_splice_s0,condition,fr_bg,image_score,all,31,0.00986,0.013795258064516133,0.007219,0.013226
bce_splice_s0,condition,fr_bg,pred_pos_frac,all,31,0.0,0.00032916129032258034,0.0,0.0
bce_splice_s0,condition,real_crop,f1,all,0,nan,nan,nan,nan
bce_splice_s0,condition,real_crop,iou,all,0,nan,nan,nan,nan
bce_splice_s0,condition,real_crop,image_score,all,6,0.0090595,0.013855166666666667,0.00831175,0.0154165
bce_splice_s0,condition,real_crop,pred_pos_frac,all,6,0.0,0.0,0.0,0.0
bce_splice_s0,condition,sp_boundary,f1,all,6,0.8618129999999999,0.8969946666666666,0.8558565,0.9547875
bce_splice_s0,condition,sp_boundary,iou,all,6,0.757205,0.8195093333333333,0.74803425,0.91785175
bce_splice_s0,condition,sp_boundary,image_score,all,6,0.9993005,0.9992920000000001,0.999255,0.999325
bce_splice_s0,condition,sp_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
bce_splice_s0,contrast,ai_interior|real_crop,auc,all,6,0.6666666666666666,0.6666666666666666,nan,nan
bce_splice_s0,contrast,ai_interior|real_crop,auc,bucket=medium,4,0.5,0.5,nan,nan
bce_splice_s0,contrast,ai_interior|real_crop,auc,bucket=large,2,1.0,1.0,nan,nan
bce_splice_s0,contrast,ai_interior|sp_interior,auc,all,0,nan,nan,nan,nan
bce_splice_s0,contrast,ai_interior|sp_interior,auc,bucket=medium,0,nan,nan,nan,nan
bce_splice_s0,contrast,ai_interior|sp_interior,auc,bucket=large,0,nan,nan,nan,nan
bce_splice_s0,contrast,sp_interior|real_crop,auc,all,0,nan,nan,nan,nan
bce_splice_s0,contrast,ai_interior|fr_bg,auc,all,6,0.6989247311827957,0.6989247311827957,nan,nan
bce_splice_s0,contrast,ai_boundary|sp_boundary,auc,all,6,0.0,0.0,nan,nan
