item_id,source,parent_item_id,parent_source,pair_stem,case_id,win_y0,win_x0,win_y1,win_x1,native_w,native_h,upsample_factor,window_group,window_index,window_spec,has_mask,image
837549f5cfe43ad283efb4ee7a8d913b,ai_interior,1629cb81fa41948cf99432f9a0eebead,sagid,1629cb81fa41948cf99432f9a0eebead|0,sagid_triplet_00068,0.008789,0.005952,0.301758,0.386905,256,300,1.7500,interior,0,v5,1,/media/ssd/DINO_SCOPE_DATA/SAGI_D/modified/triplet_00068.jpg
0d018a5895237149abe453cd8769cb67,ai_interior,af2a84d7f643638344b32a8ceae2b488,sagid,af2a84d7f643638344b32a8ceae2b488|0,sagid_triplet_00098,0.389167,0.583750,0.647500,0.745000,258,310,1.7364,interior,0,v5,1,/media/ssd/DINO_SCOPE_DATA/SAGI_D/modified/triplet_00098.jpg
424c7e9bd025fe930369d48dc723600d,ai_interior,cabcf20f6e60c29eedd373db62f43467,sagid,cabcf20f6e60c29eedd373db62f43467|0,sagid_triplet_00213,0.125000,0.626953,0.616071,0.925781,306,330,1.4641,interior,0,v5,1,/media/ssd/DINO_SCOPE_DATA/SAGI_D/modified/triplet_00213.jpg
97aef9371ddecabe12ceab125881d665,ai_interior,0abdbb2f0ab66826a00272aee13e0467,sagid,0abdbb2f0ab66826a00272aee13e0467|0,sagid_triplet_00269,0.193359,0.358887,0.731120,0.818359,941,826,0.5424,interior,0,v5,1,/media/ssd/DINO_SCOPE_DATA/SAGI_D/modified/triplet_00269.jpg
f0d72c793df81453a2ae5c7878417bdb,ai_interior,e98eeeb3739bf28ded78c0e611157d22,sagid,e98eeeb3739bf28ded78c0e611157d22|0,sagid_triplet_00373,0.222793,0.360902,0.608316,0.698565,988,751,0.5965,interior,0,v5,1,/media/ssd/DINO_SCOPE_DATA/SAGI_D/modified/triplet_00373.jpg
27bfa88e06096f8e76f54c566cb21ecb,ai_interior,2279295364a8fb83a6f3f55083b67116,sagid,2279295364a8fb83a6f3f55083b67116|0,sagid_triplet_00459,0.435937,0.265823,0.845313,0.670886,256,262,1.7500,interior,0,v5,1,/media/ssd/DINO_SCOPE_DATA/SAGI_D/modified/triplet_00459.jpg
53355ad69df29cc42b4efa1ce31c0513,ai_interior,1b027afcffe31088a37e1c196e64e11f,sagid,1b027afcffe31088a37e1c196e64e11f|0,sagid_triplet_00485,0.254104,0.052609,0.347222,0.115530,299,295,1.5186,interior,0,v5,1,/media/ssd/DINO_SCOPE_DATA/SAGI_D/modified/triplet_00485.jpg
826207bea9361f5dcd858f8c002b4edc,ai_interior,1d58c1e401927157daf8e8ea56f2593e,sagid,1d58c1e401927157daf8e8ea56f2593e|0,sagid_triplet_00524,0.514396,0.761194,0.914677,0.995802,1006,1140,0.4453,interior,0,v5,1,/media/ssd/DINO_SCOPE_DATA/SAGI_D/modified/triplet_00524.jpg
3237f01f323f3fccdd4d69816a75a253,ai_interior,347f3fd8119674e4fa51e2808792705a,sagid,347f3fd8119674e4fa51e2808792705a|0,sagid_triplet_00525,0.053571,0.192402,0.324878,0.676777,1581,1337,0.3351,interior,0,v5,1,/media/ssd/DINO_SCOPE_DATA/SAGI_D/modified/triplet_00525.jpg
84f3e595c9fd4cfb2417a8f94561b807,ai_interior,c0d500eb586eaa152348e7418e9fb308,sagid,c0d500eb586eaa152348e7418e9fb308|0,sagid_triplet_00586,0.540748,0.754058,0.878064,0.979911,1113,1101,0.4069,interior,0,v5,1,/media/ssd/DINO_SCOPE_DATA/SAGI_D/modified/triplet_00586.jpg
